,Unnamed: 0,Unnamed: 0.1,ID,MJD,YYYY,MM,DD,hh,mm,ssssssss,Duration_s,RA_(deg),Dec_(deg),Az_(deg),Ze,Az_uncorr_(deg),Ze_uncorr_(deg),Ze_correction_(deg),v,Geocentric_vel_(km_per_s),RCS,SNR_(dB),Start_hgt_(km),End_hgt_(km),Az_of_start_point_deg,Ze_of_start_point_deg,Az_of_end_point_deg,Ze_of_end_point_deg,Semimajor_axis_AU,Eccentricity,Perihelion_dist_AU,Lon_of_asc_node_deg,Inclination_deg,Argument_of_periapsis_deg,Period_(yr),Heliocentric_vel_(km_per_s),Radiant_ecl_lon_(deg),Radiant_ecl_lat_(deg),Sol_lon_(deg),RA_error_(deg),Dec_error_(deg),Az_error_(deg),Ze_error_(deg),Vel_error_(deg),Semimajor_axis_error_(AU),Eccentricity_error,Perihelion_dist_error_(AU),Inclination_error_(deg),Argument_of_periapsis_error_(deg),Period_error_(yr),Heliocentric_vel_error,Ecl_lon_error_(deg),Ecl_lat_error_(deg),Hammer_X,Hammer_Y,Time_from_Perihelion_(days),mag_calculated,mass_grams_calculated
0,0,0,1030201.0,55177.984962,2009.0,12.0,12.0,23.0,38.0,20.71184,0.1248,114.085862,31.232715000000002,300.55906,79.010024,300.88716,76.51386,2.372865,34.881717,33.406569,-12.462408,17.731538,94.513521,93.599537,57.17086,4.988094,77.82305600000002,6.6086,1.133844,0.8896940000000001,0.12507000000000001,260.949459,21.701172,328.665925,1.2073399999999999,32.41252,110.72123,9.510936000000001,260.949459,1.074551,0.91217,0.638091,0.526699,1.0403209999999998,0.09059299999999999,0.015767,0.015382,3.3034790000000003,3.5860300000000005,0.14531,1.0403209999999998,1.074551,0.91217,1.0305360000000001,0.171677,-38.06192,6.415372925764192,0.0059034449488460095
1,1,1,1030207.0,55177.985391999995,2009.0,12.0,12.0,23.0,38.0,57.83671999999999,0.27455999999999997,113.23643999999999,32.635871,302.2295180000001,78.921687,302.596028,76.112329,2.677143,32.817956,31.218297999999997,-18.587384,26.57864600000001,97.158478,95.029939,337.59087999999997,3.145351,86.86369499999998,3.157986,1.071828,0.854492,0.15596,260.949896,20.703511,325.738334,1.1096540000000001,31.684948,109.76745700000001,10.778616,260.949896,0.5419039999999999,0.405859,0.19703900000000002,0.291842,0.7078949999999999,0.042135,0.011179999999999999,0.00923,1.7272490000000005,1.580623,0.065512,0.7078949999999999,0.5419039999999999,0.405859,1.043251,0.194697,-40.296749,7.7527039301310054,0.002244412709308111
2,2,2,1030216.0,55177.986207,2009.0,12.0,12.0,23.0,40.0,8.27384,0.29328000000000004,113.989818,31.863636,301.357412,79.038855,301.703932,76.38803399999998,2.52375,33.827185,32.291366,-28.136088,15.671681,97.724241,95.474754,335.6136140000001,3.094638,91.70727600000001,3.5355209999999997,1.088825,0.873402,0.137843,260.950725,21.321778,327.631518,1.136154,31.894303000000004,110.53401299999999,10.119810000000001,260.950725,0.820843,0.779558,0.689407,0.272976,0.676728,0.057470000000000014,0.012326,0.012709999999999999,2.157891,3.007963,0.09012300000000001,0.676728,0.820843,0.779558,1.032189,0.182678,-39.148206,9.837573799126638,0.00028814532389344994
3,3,3,1030236.0,55177.98809299999,2009.0,12.0,12.0,23.0,42.0,51.19712,0.3276,112.227501,33.292088,303.7466990000001,79.91372700000002,304.104003,77.396799,2.406332,34.905869,33.422740000000005,-22.329183999999998,24.897981,98.982393,96.401933,322.497419,2.4905180000000002,112.861134,4.128799,1.23222,0.878448,0.149778,260.952643,23.695743,324.394223,1.367831,33.390451,108.810943,11.294174,260.952643,0.8991959999999999,0.853628,0.78589,0.267912,0.72655,0.08733400000000001,0.012911,0.0142,2.23532,3.427942,0.145869,0.72655,0.8991959999999999,0.853628,1.057683,0.204215,-38.545154,8.569690829694323,0.0008091836536378991
4,4,4,1030270.0,55177.99236799999,2009.0,12.0,12.0,23.0,49.0,0.5957600000000001,0.2652,115.344352,31.07617,301.1304580000001,80.100842,301.517608,76.698026,3.2628340000000002,30.041937,28.257763,-35.686362,12.449872000000001,92.668881,90.431259,322.436469,2.27104,103.148525,2.622343,0.9135129999999999,0.824521,0.160302,260.956991,16.377445,328.486199,0.873116,29.26042,111.82439299999999,9.538241000000001,260.956991,1.610538,1.318203,0.806395,0.724529,1.642133,0.063321,0.032249,0.027525,4.0937790000000005,4.845061,0.09120299999999999,1.642133,1.610538,1.318203,1.012199,0.17195,-42.854143,7.582494104803495,0.0038786641794722504
5,5,5,1030302.0,55177.995709,2009.0,12.0,12.0,23.0,53.0,49.23008,0.24336,111.35459099999999,33.196595,305.480532,82.42155600000002,305.85437,79.776624,2.557013,34.602312,33.097845,-17.807823000000006,24.739623,97.17066899999999,95.673675,248.64200699999998,2.580258,157.56448600000004,4.187021,1.247134,0.8737010000000001,0.15751099999999998,260.96038799999997,22.434807,323.267897,1.392739,33.52305,108.089873,11.089884,260.96038799999997,0.383728,0.308895,0.17444,0.178491,0.59007,0.052364999999999995,0.008764,0.0070950000000000015,1.348565,1.21355,0.087822,0.59007,0.383728,0.308895,1.070324,0.200711,-38.814932,8.869617248908297,0.000637850392009584
6,6,6,1030309.0,55177.996494000006,2009.0,12.0,12.0,23.0,54.0,57.09944,0.31824,111.96049199999999,31.776582,304.172772,83.059601,304.605457,79.25147199999998,3.695645,28.963318,27.084281,-19.393399,30.787038,86.67378000000002,84.791636,310.777048,2.504989,119.901747,3.346888,0.9567959999999999,0.7919039999999999,0.199106,260.961187,14.499857999999998,323.62446,0.9359,30.023834,108.81922800000001,9.762064,260.961187,0.24794899999999997,0.17416600000000002,0.026387,0.141333,0.358608,0.011765000000000001,0.006788,0.005261999999999999,0.662517,0.668455,0.017266,0.358608,0.24794899999999997,0.17416600000000002,1.0617450000000002,0.176601,-44.393945,7.376894978165939,0.005535544959548757
7,7,7,1030312.0,55177.996865,2009.0,12.0,12.0,23.0,55.0,29.09504,0.26208000000000004,113.282234,33.142063,304.674618,81.440435,305.040883,78.84706800000002,2.4964939999999998,34.713263,33.218762,-23.702847,23.134601,101.933525,100.113576,290.172959,2.6638290000000002,140.763522,2.567346,1.1759709999999999,0.877974,0.143499,260.961564,24.065175,325.81275,1.27525,32.855002,109.723599,11.284438,260.961564,0.386899,0.302739,0.156873,0.193091,0.6123529999999999,0.046414,0.008666,0.00677,1.502435,1.15016,0.075579,0.6123529999999999,0.386899,0.302739,1.042741,0.203821,-38.661325,8.269298034934499,0.0010930756077633995
8,8,8,1030616.0,55178.39704700001,2009.0,12.0,13.0,9.0,31.0,44.84,0.31824,114.00967299999999,32.023056,51.833737,87.633239,52.270540000000004,84.114944,3.573886,31.190542999999998,28.819607,-30.32452,16.253528,93.311274,92.36891999999999,20.152798,3.109783,260.022573,3.5872010000000003,0.973067,0.8231069999999999,0.172128,261.36857200000003,17.395061,325.856542,0.959873,30.291262,110.524273,10.279832,261.36857200000003,1.525791,1.3069,1.110277,0.310628,1.586873,0.08387,0.026879000000000004,0.016727000000000002,3.764014,2.08928,0.124776,1.586873,1.525791,1.3069,1.038924,0.185647,-42.51804600000001,7.7080189956331875,0.00319946696737422
9,9,9,1030620.0,55178.404878999994,2009.0,12.0,13.0,9.0,43.0,1.54616,0.2496,114.42351799999999,32.318189000000004,52.921758999999994,85.870365,53.327775,82.806416,3.129778,32.814802,30.550817,-16.866179000000002,24.550472,95.605396,94.583336,100.857646,3.6414470000000003,184.704628,3.61812,1.023118,0.8479969999999999,0.15551700000000002,261.376538,20.015895999999998,326.61407,1.0348760000000001,31.04050100000001,110.825763,10.628993,261.376538,1.8559400000000001,1.6139459999999999,1.403101,0.419702,1.97705,0.124668,0.031677,0.01898,5.1390660000000015,2.309889,0.191047,1.97705,1.8559400000000001,1.6139459999999999,1.0331299999999999,0.191867,-40.851511,10.200084497816594,0.00025647000010562093
