ID,angle_original,line_intensity_original,flux_meteor_original,pixel_width_original,pixel_width_modified,line_intensity_modified,flux_meteor_modified
571342_058,73.5,0,0,20,0,0,0
572534_007,79,0,0,20,0,0,0
572534_007,79,0,0,20,0,0,0
574542_069,78,0,0,20,0,0,0
584123_021,85,0,0,20,0,0,0
586316_109,87,0,0,20,0,0,0
586316_109,87,0,0,20,0,0,0
586316_110,88,0,0,20,0,0,0
586316_110,88,0,0,20,0,0,0
586521_062,126.5,0,0,20,0,0,0
586521_062,126.5,0,0,20,0,0,0
586521_062,126.5,0,0,20,0,0,0
587221_063,82,0,0,20,0,0,0
587221_063,82,0,0,20,0,0,0
587614_081,86.5,0,0,20,0,0,0
588516_007,152,0,0,20,0,0,0
588925_104,86.5,0,0,20,0,0,0
589243_034,82,0,0,20,0,0,0
589416_050,94,0,0,20,0,0,0
590112_113,78,0,0,20,0,0,0
606534_019,83.5,0,0,20,0,0,0
606613_030,90,0,0,20,0,0,0
606623_030,90,0,0,20,0,0,0
606934_054,81,0,0,20,0,0,0
609526_115,76,0,0,20,0,0,0
611111_020,122.5,0,0,20,0,0,0
614032_048,25,0,0,20,0,0,0
614032_048,24.5,0,0,20,0,0,0
614215_023,81,0,0,20,0,0,0
619412_069,171,0,0,20,0,0,0
619813_097,85.5,0,0,20,0,0,0
619841_072,91.5,0,0,20,0,0,0
622716_019,160.5,0,0,20,0,0,0
622811_093,90,0,0,20,0,0,0
622811_094,90,0,0,20,0,0,0
622821_094,90,0,0,20,0,0,0
622841_095,90,0,0,20,0,0,0
625522_019,103,0,0,20,0,0,0
626142_088,30.5,0,0,20,0,0,0
627032_102,57.5,0,0,20,0,0,0
628016_044,90,0,0,20,0,0,0
630112_065,80.5,0,0,20,0,0,0
630144_051,157,0,0,20,0,0,0
630611_026,84,0,0,20,0,0,0
650721_098,80.5,0,0,20,0,0,0
652311_070,77,0,0,20,0,0,0
654811_059,64.5,0,0,20,0,0,0
654915_115,90,0,0,20,0,0,0
654925_115,90,0,0,20,0,0,0
655312_112,89.5,0,0,20,0,0,0
655512_102,88,0,0,20,0,0,0
655726_016,67,0,0,20,0,0,0
658715_093,90,0,0,20,0,0,0
661714_118,57.5,0,0,20,0,0,0
661715_111,86.5,0,0,20,0,0,0
661741_023,64,0,0,20,0,0,0
663913_107,125.5,0,0,20,0,0,0
664815_042,89,0,0,20,0,0,0
665015_050,87,0,0,20,0,0,0
665615_042,90.5,0,0,20,0,0,0
665726_077,85,0,0,20,0,0,0
665726_077,85,0,0,20,0,0,0
665922_039,97.5,0,0,20,0,0,0
666512_021,90,0,0,20,0,0,0
666522_022,90,0,0,20,0,0,0
666532_022,90,0,0,20,0,0,0
666542_022,90,0,0,20,0,0,0
666711_017,164,0,0,20,0,0,0
670512_103,92.5,0,0,20,0,0,0
670616_068,82,0,0,20,0,0,0
670716_096,90,0,0,20,0,0,0
671514_066,92.5,0,0,20,0,0,0
671921_043,101.5,0,0,20,0,0,0
685511_051,99,0,0,20,0,0,0
686215_090,77.5,0,0,20,0,0,0
689914_114,103,0,0,20,0,0,0
690122_076,122.5,0,0,20,0,0,0
691014_086,79,0,0,20,0,0,0
691613_088,63,0,0,20,0,0,0
693143_118,122.5,0,0,20,0,0,0
695413_045,87.5,0,0,20,0,0,0
696222_096,90,0,0,20,0,0,0
696521_064,76.5,0,0,20,0,0,0
696733_097,79,0,0,20,0,0,0
696921_066,112,0,0,20,0,0,0
697714_016,88.5,0,0,20,0,0,0
698622_095,90,0,0,20,0,0,0
698642_096,86.5,0,0,20,0,0,0
699022_047,129.5,0,0,20,0,0,0
699712_116,108.5,0,0,20,0,0,0
701024_020,87.5,0,0,20,0,0,0
703522_038,118,0,0,20,0,0,0
704342_036,80.5,0,0,20,0,0,0
705034_048,25,0,0,20,0,0,0
705214_076,132,0,0,20,0,0,0
705214_076,132,0,0,20,0,0,0
705321_049,84,0,0,20,0,0,0
705321_049,84,0,0,20,0,0,0
705416_080,77,0,0,20,0,0,0
705614_052,8,0,0,20,0,0,0
706214_076,90.5,0,0,20,0,0,0
