,ID,Angle,Ra_hh_,Ra_mm_,Ra_ss_,Dec_deg_,Dec_mm_,Dec_ss_,X,Y,x_1,x_2,utc_mu,year_jst_mu,month_jst_mu,day_jst_mu,hour_jst_mu,minute_jst_mu,second_jst_mu,duration,alt_start,alt_end,azimuth_radiant,zenith_radiant,velocity,n_data_interferometry,n_data_doppler,azimuth_start_at_kiso,elevation_start_at_kiso,range_start_at_kiso,azimuth_end_at_kiso,elevation_end_at_kiso,range_end_at_kiso,exposure_starting_time_tomoe,year_tomoe,month_tomoe,day_tomoe,hh_UT__tomoe,mm_tomoe,ss_tomoe,ra1_deg_,dec1_deg_,ra2_deg_,dec2_deg_,az1_deg_,el1_deg_,az2_deg_,el2_deg_,az_middle_deg_,el_middle_deg_,az3_deg__mu_at_kiso,el3_deg__mu_at_kiso,az4_deg__mu_at_kiso,el4_deg__mu_at_kiso,az_intersection,el_intersection,distance,vector_az,vector_el,theta,az3_deg__tomoe,el3_deg__tomoe,az4_deg__tomoe,el4_deg__tomoe,az1_intersection_tomoe,el1_intersection_tomoe,az2_intersection_tomoe,el2_intersection_tomoe,az1_intersection_mu,el1_intersection_mu,az2_intersection_mu,el2_intersection_mu,percentage,Event_Number,MJD,Begining_time_of_the_event_YYYY,MM,DD,hh,mm,ss_ssssss,Duratin_s_,Radiant_Right_Ascension_,Radiant_Declination_,Radiant_Azimuth_,Radiant_Zenith_,Radiant_Azimuth__uncorrected,Radiant_Zenith__uncorrected,Zenith_angle_correction,Initial_velocity_observed__km_s_,Initial_velocity_geocentric__km_s_,RCS_dBsm_at_max_SNR,SNR_max_dB_,Beginning_height_km_,EndHeight_km_,AzimuthOfMeteorStartPoint,ZenithOfMeteorStartPoint,AzimuthOfMeteorEndPoint,ZenithOfMeteorEndPoint,x6ParametersForOrbit,x6ParametersForOrbit_1,x6ParametersForOrbit_2,x6ParametersForOrbit_3,x6ParametersForOrbit_4,x6ParametersForOrbit_5,Period_yr_,HeliocentricVelocity_km_s_,Radiant_eclipticLongitude_,Radiant_eclipticLatitude_,SolarLongitude,RAError,decError,azError,zeError,velocityError,aError,eError,qError,iError,omegaError,PError,heliocentricVelocityError,radiant_eclipticLongitude_,radiant_eclipticLatitude_,HammerX,HammerY,TimeFromPerihelion_days_,x_start_km_,y_start_km_,z_start_km_,x_end_km_,y_end_km_,z_end_km_,incidence_angle_deg_,line_intensity,flux_meteor,v_mag_meteor,v_mag_meteor_err,star_number_ucac,v_band_abs_mag_meteor,v_band_abs_mag_meteor_error,zero_mag_ucac,g_mag_meteor,g_mag_meteor_err,star_number_gaia,g_band_abs_mag_meteor,g_band_abs_mag_meteor_error,zero_mag_gaia,v_band_abs_mag_meteor_coverted
0,571311_057,72.0,9,7,48.3132,-9,33,35.007,250,128,1,500,2018-04-18T13:18:28.175,2018,4,18,22,18,28.175040000000006,0.27144,94.596222,91.496659,137.197844,66.24489799999999,28.051143,51,88,232.654002,27.09488,201224.138,234.874129,26.222579,200368.9831,2018-04-18T13:17:59.811226,2018,4,18,13,17,59.811226,136.617921745616,-9.45118810217436,137.285931233442,-9.66812770164975,233.25462258345505,26.9123727494208,233.96845022461497,26.638775136956,233.611536404035,26.7755739431884,226.0,29.7092766532554,242.0,23.4227822319904,233.592164723302,26.7262703296076,0.0529727130373133,-0.0193716807327462,-0.0493036135807721,0.479204561948396,226.0,29.6929423207269,242.0,23.560423002304894,232.670290669105,27.136336921490997,234.897713500826,26.2826048248769,233.23641995923802,26.8660445467755,233.94790948736699,26.5864961124398,100.0,1000013,58226.554493,2018,4,18,13,18,28.175040000000006,0.27144,224.603978,-21.496851,137.836497,69.258741,137.197844,66.24489799999999,3.231479,28.051143,25.49631,-17.966679,24.915011,94.596222,91.496659,200.391223,2.305172,284.382744,3.919927,1.1488,0.748841,0.288531,208.210815,5.326651999999998,131.63136699999998,1.231307,31.388696000000003,228.364459,-4.37893,28.210815000000004,0.26799,0.310112,0.078472,0.244119,0.265851,0.023992,0.006385,0.005988,0.305414,0.956948,0.038583,0.265851,0.26799,0.310112,1.201822,-0.080134,-47.503538,-3.5693071307946003,-1.3267910625021102,94.596222,1.55735386756093,-6.07308558415313,91.496659,66.07525187782839,345.932415406904,4598267.58229716,8.616361205570936,0.006992995929950281,45.0,7.759034858062494,0.006992995929950281,25.27284680588245,8.142169627772343,0.031005229140019363,58.0,7.284843280263902,0.031005229140019363,24.798655228083863,7.7354556460914985
1,572211_063,124.5,9,20,28.5457,-9,28,39.202,183,69,90,260,2018-04-18T13:28:23.362,2018,4,18,22,28,23.36184,0.29952,95.67595,88.909058,75.77297800000002,40.111333,29.51057,45,86,232.726047,28.001289,197774.9077,233.466469,25.561245,199190.7933,2018-04-18T13:27:52.240936,2018,4,18,13,27,52.240936,139.993884689957,-9.56148271640432,140.222382625616,-9.40810635964402,233.06211252888,27.4075195208826,233.139658667124,27.1437633500897,233.100885598002,27.2756414354861,229.69197646846803,38.0,234.243668978931,23.0,232.959280875212,27.232672025074898,0.147980633014898,-0.14160472278987898,-0.0429694104112635,0.4965186991029401,229.94785001471598,38.0,234.357953748639,23.0,232.87431263668705,28.046279639204503,233.593588963979,25.599819065865002,232.91936793453,27.3642042208151,232.999193815895,27.1011398293347,100.0,1000019,58226.56138200001,2018,4,18,13,28,23.36184,0.29952,235.250747,34.447538,75.484911,41.153239,75.77297800000002,40.111333,1.600424,29.51057,27.079986,-32.724587,15.075819,95.67595,88.909058,105.428808,1.311417,239.956949,2.5647290000000003,2.447252,0.681603,0.779197,28.217549,39.188886,243.427234,3.828405000000001,37.2969,220.16294900000003,52.043831,28.217549,2.494327,2.182403,2.70482,1.479349,0.6513100000000001,0.664205,0.067453,0.030332,2.04563,13.588107,1.611709,0.6513100000000001,2.494327,2.182403,0.90388,0.917538,-40.841989,-0.582700105190151,2.1113324195074,95.67595,-1.9938376017244,-3.44744328351846,88.909058,40.2820271770729,110.509041096812,1423057.1036558,9.797310811088117,0.008491441610021692,29.0,8.878433798071065,0.008491441610021692,25.180366630000567,9.404117672471612,0.06269198892674004,44.0,8.485240659454561,0.06269198892674004,24.787173491384056,8.879434348460196
2,572311_102,71.0,9,20,32.5753,-9,34,57.536,196,148,50,350,2018-04-18T13:29:45.895,2018,4,18,22,29,45.8952,0.31512,92.712446,90.344938,120.99501399999998,76.725974,28.62354,46,90,232.18951600000003,27.371879,195568.8488,234.817841,26.321669,197250.4379,2018-04-18T13:28:55.117344,2018,4,18,13,28,55.117344,139.94048737929398,-9.51586229126754,140.341814726581,-9.65337754099156,233.00061586637798,27.1297902226156,233.43661619998198,26.9725311757729,233.21861603318,27.051160699194302,226.0,29.8450478806978,242.0,23.4518659111925,233.187439016445,26.973135035269298,0.0840238692482297,-0.0311770167352279,-0.0780256639249863,1.94671428979864,226.0,29.6548116356917,242.0,23.883841855268997,232.207139847234,27.4159856056138,234.87116112203896,26.4551114636575,232.972359920107,27.059075022814607,233.402518112783,26.887195047724,100.0,1000020,58226.562337,2018,4,18,13,29,45.8952,0.31512,247.882775,-19.013981,121.407582,80.350803,120.99501399999998,76.725974,3.779949,28.62354,26.029554,-33.585259,15.299747,92.712446,90.344938,109.12282,2.487266,310.9453180000001,3.027726,0.718496,0.8620770000000001,0.099097,28.218483000000006,5.8255,341.2307830000001,0.6090270000000001,22.960223000000006,249.12094700000003,2.834289,28.218483000000006,0.73374,0.6739729999999999,0.213128,0.454809,0.924004,0.016284,0.018426,0.012733,1.675629,1.792302,0.020721,0.924004,0.73374,0.6739729999999999,0.8540209999999999,0.050618,-45.499972,-1.31930988540694,3.80503770680192,92.712446,3.1316118375645,-3.60945886202645,90.344938,74.68938892774341,107.55761670251101,1461285.30237492,9.791428164381557,0.005037756346797595,28.0,8.855458249455621,0.005037756346797595,25.203265704817294,9.374418180030586,0.029814525138206125,46.0,8.438448265104652,0.029814525138206125,24.78625572046633,8.834841196644732
3,572622_107,118.5,9,23,45.2415,-8,53,33.524,393,236,320,460,2018-04-18T13:33:10.308,2018,4,18,22,33,10.30824,0.38688,94.46986,90.779461,67.774863,71.948769,30.181018,64,122,233.419423,28.330595,193373.2813,234.344868,25.890725,201041.678,2018-04-18T13:32:16.602614,2018,4,18,13,32,16.602614000000006,140.840652334154,-8.945016550035609,141.028186656461,-8.844466040697721,233.73125781382998,27.6367188801052,233.81272468874198,27.438677189540897,233.771991251286,27.537698034823,229.75180853274296,38.0,235.441322728172,23.0,233.72668739865296,27.5205142406455,0.0484532955094403,-0.0453038526329692,-0.0171837941775195,1.58863206518383,229.46819520176,38.0,235.63862891297995,23.0,233.4422600991,28.3392571333009,234.435372374627,25.9250533949459,233.688729398379,27.6205878118774,233.764645398927,27.4204406694136,100.0,1000027,58226.564703,2018,4,18,13,33,10.30824,0.38688,275.640253,26.929083,67.483526,74.825521,67.774863,71.948769,3.086924,30.181018,27.696371000000006,-14.627099,32.138828000000004,94.46986,90.779461,48.857698,3.453129,265.644202,3.794008,0.801955,0.330631,0.536804,28.220797,58.5427,330.813881,0.718167,25.582027,277.869967,50.212037,28.220797,0.328595,0.297681,0.232059,0.142787,0.232195,0.008419,0.00993,0.013601,0.583205,2.874148,0.01131,0.232195,0.328595,0.297681,0.253637,0.851267,-92.852298,3.7505101831466097,4.29288826248324,94.46986,-0.457220096402718,-6.00264160192436,90.779461,71.6438816204235,546.507506431431,5575711.15905208,8.46062483186492,0.20761670138833246,53.0,7.4936125399975255,0.20761670138833246,25.326375501189993,8.097165824190583,0.04729701494571189,83.0,7.130153532323187,0.04729701494571189,24.962916493515657,7.588036316303997
4,573712_037,82.0,9,33,53.464,-8,52,39.994,250,224,20,470,2018-04-18T13:44:19.598,2018,4,18,22,44,19.59816,0.36816,97.499521,94.2101,107.830515,73.270397,31.743431,62,115,231.949609,28.453614,198713.7292,234.903757,26.749370000000006,202662.4683,2018-04-18T13:44:01.341734,2018,4,18,13,44,1.341734,143.165124234334,-8.835060798170439,143.766871308331,-8.9185589750184,233.847682270424,27.4465494643169,234.40964067156602,27.1133910614115,234.12866147099498,27.2799702628642,226.0,31.8859354140239,241.40294014910305,23.0,234.092541268967,27.2173592619865,0.0722828224783323,-0.036120202027746,-0.0626110008777125,0.681095568832985,226.0,32.0990669574444,241.347945826063,23.0,232.000425699651,28.541700008599896,234.934313783045,26.8023373330345,233.809621771081,27.3805751390366,234.375460766853,27.0541433849364,100.0,1000035,58226.572449,2018,4,18,13,44,19.59816,0.36816,256.729919,-6.176908999999998,108.056076,75.912837,107.830515,73.270397,2.836339,31.743431,29.36082,-15.422695,26.883506,97.499521,94.2101,124.644046,2.53931,277.716694,4.325981,0.693131,0.869983,0.090119,28.22837,43.891379,343.046224,0.577063,21.963885,256.221565,16.627595,28.22837,0.25822399999999995,0.248372,0.14944200000000002,0.15246400000000002,0.27054,0.005297,0.004288,0.002753,1.2358559999999998,0.473259,0.006616,0.27054,0.25822399999999995,0.248372,0.710041,0.294058,-45.868932,-2.4580598937497,3.55730690085728,97.499521,0.956931140215615,-7.0621177871059295,94.2101,73.57012249027319,239.33774918390597,3353643.16007427,8.922833406184012,0.06294766990599752,57.0,7.991114099518338,0.06294766990599752,25.236625531692773,8.498701659249036,0.02355025203980352,67.0,7.566982352583362,0.02355025203980352,24.812493784757795,8.004334182011943
5,574216_031,80.0,9,41,27.4633,-5,23,52.525,446,17,376,493,2018-04-18T13:49:43.170,2018,4,18,22,49,43.17024,0.2652,103.879729,98.480951,136.553764,56.657164,36.64609,37,83,235.003544,30.912589,197018.6837,237.71737400000004,29.379543,195263.5896,2018-04-18T13:49:28.137517,2018,4,18,13,49,28.137517,145.27151719372299,-5.38163169958616,145.426805164845,-5.40886013380471,236.285868775461,30.247321814115,236.43868499882598,30.1624664537353,236.36227688714402,30.204894133925094,226.0,35.9987023950998,242.0,26.9602821550702,236.336644368752,30.159518915317392,0.0521146472959381,-0.0256325183912622,-0.0453752186077558,0.419745589396046,226.0,35.9588299416085,242.0,27.0743951860428,235.023659471511,30.9481978271658,237.74872067936695,29.435033545533198,236.26055116940398,30.2025040598875,236.412737568101,30.1165337707472,100.0,1000040,58226.57619400001,2018,4,18,13,49,43.17024,0.2652,226.158429,-11.874247,137.084324,57.924862,136.553764,56.657164,1.497421,36.64609,34.691278000000004,-1.482691,24.388553,103.879729,98.480951,17.511865,4.831038,348.330775,8.41522,2.418079,0.91287,0.210688,28.232032,9.799702,310.978972,3.760154,37.238536,227.099426,5.275529,28.232032,0.167231,0.178065,0.113749,0.13408399999999998,0.114706,0.07949099999999999,0.002367,0.0030440000000000003,0.344407,0.769659,0.185506,0.114706,0.167231,0.178065,1.221907,0.096675,-38.159936,8.37279912878172,2.64183978582342,103.879729,14.268012701919696,-2.94677189711179,98.480951,56.3914510488593,3080.82185683742,54769947.198914,5.413555135886426,0.016558714322690883,29.0,4.433851024418772,0.016558714322690883,24.759910941502557,4.795474403662438,0.044239249268761896,38.0,3.815770292194785,0.044239249268761896,24.14183020927857,4.42942908846163
6,574422_084,124.5,9,41,40.952,-8,39,21.092,90,60,22,156,2018-04-18T13:52:28.312,2018,4,18,22,52,28.311840000000004,0.33696,95.136147,91.56807,63.56010300000001,70.90988,32.247288,51,100,233.986306,28.324440000000006,194747.3779,234.562275,26.044799,201709.7815,2018-04-18T13:51:46.728779,2018,4,18,13,51,46.728779,145.329831817133,-8.717750756082,145.508732124763,-8.59585601774864,234.25807903868198,27.554732161806694,234.315218318478,27.346003957778105,234.28664867858,27.4503680597924,231.541700635541,38.0,235.331567110131,23.0,234.21191759243302,27.431486670592605,0.0770794531298564,-0.0747310861468122,-0.0188813891998301,1.13015409381368,231.398690273597,38.0,235.50493552653703,23.0,234.043421377445,28.3388706436107,234.664361923526,26.0705920539309,234.18541710534697,27.536373560131803,234.238418079519,27.3265997810533,100.0,1000044,58226.57810499999,2018,4,18,13,52,28.311840000000004,0.33696,281.468073,31.192525,63.237387,73.331049,63.56010300000001,70.90988,2.621513,32.247288,29.925326,-22.515019,19.503278,95.136147,91.56807,27.896143,2.976021,269.080871,4.176755,0.876625,0.181062,0.717902,28.233901,62.902824,329.252282,0.8207690000000001,27.345106,286.803777,53.962554,28.233901,0.962081,0.857676,0.6987180000000001,0.4139600000000001,0.651403,0.034396,0.03653,0.06024,1.607979,17.310185999999998,0.048363,0.651403,0.962081,0.857676,0.134571,0.908267,-114.317558,4.37121644315524,2.31406323177215,95.136147,-0.10726694064520402,-6.68612977259961,91.56807,70.4586478382413,187.225559524908,1976132.77416894,9.638584737930683,0.016286361151053932,35.0,8.693930279573376,0.016286361151053932,25.37812504042169,9.205162161832694,0.060626273653261134,49.0,8.260507703475389,0.060626273653261134,24.944702464323697,8.665263841412045
7,574511_068,79.0,9,47,50.2422,-9,43,36.37300000000001,422,261,343,488,2018-04-18T13:53:24.154,2018,4,18,22,53,24.1536,0.33072,97.382383,91.274845,142.359503,57.10400500000001,34.18826,56,104,231.908296,27.640799,203497.8169,234.89223,26.114534,200611.6214,2018-04-18T13:52:49.813484,2018,4,18,13,52,49.813484,146.853443014985,-9.706099340201462,147.047821097763,-9.7440026989013,232.33667588254002,27.5202791339922,232.528216611003,27.424043719288306,232.432446246771,27.472161426640202,226.0,30.662858266203603,240.98131931067402,23.0,232.39212181450802,27.3933248913972,0.0885508843915482,-0.0403244322638159,-0.0788365352430347,0.41324973561585693,226.0,30.704002179696197,241.333546326207,23.0,231.94683547734695,27.7161458478917,234.94177795912998,26.2114030495287,232.29670347249905,27.4421308220131,232.48754015651696,27.344518960781397,100.0,1000045,58226.578752,2018,4,18,13,53,24.1536,0.33072,223.150843,-15.190952,142.975813,58.63969300000001,142.359503,57.10400500000001,1.7509869999999998,34.18826,32.124671,-1.269213,40.956973,97.382383,91.274845,186.529892,3.582864,282.072348,4.115662,2.056727,0.8780370000000001,0.250846,28.234532,2.00793,307.198793,2.9496130000000003,36.371192,225.23219100000003,1.266275,28.234532,0.10952,0.172253,0.009813,0.171285,0.15626700000000002,0.05948,0.003328,0.003295,0.226969,0.645583,0.128002,0.15626700000000002,0.10952,0.172253,1.256716,0.023266,-40.308808,-6.057983588450751,-0.6934217975084079,97.382383,1.37362102523487,-6.4224909589020704,91.274845,56.940813296089495,14209.4337184522,217819341.91066295,4.4070519970246815,0.016651882463749008,25.0,3.549157704033391,0.016651882463749008,25.252293101002262,3.7760153444736164,0.08117772846423685,48.0,2.9181210514823266,0.08117772846423685,24.6212564484512,3.573969362062657
8,574511_069,77.5,9,46,29.8085,-9,39,23.52,172,209,34,310,2018-04-18T13:53:24.154,2018,4,18,22,53,24.1536,0.33072,97.382383,91.274845,142.359503,57.10400500000001,34.18826,56,104,231.908296,27.640799,203497.8169,234.89223,26.114534,200611.6214,2018-04-18T13:52:49.813484,2018,4,18,13,52,49.813484,146.439307698985,-9.61521631544635,146.809105010211,-9.697688760064,232.57168131976601,27.401861902538705,232.942524102352,27.2254076415833,232.757102711059,27.313634772061,226.0,30.662858266203603,240.98131931067402,23.0,232.713724114286,27.228827173260303,0.0952577108288649,-0.0433785967731524,-0.0848075988007437,1.64346129653732,226.0,30.528796617101197,241.822796638031,23.0,231.939854432958,27.7024975130958,234.967579539908,26.261846592516303,232.530984541088,27.3222974090925,232.896463687485,27.135356937428003,100.0,1000045,58226.578752,2018,4,18,13,53,24.1536,0.33072,223.150843,-15.190952,142.975813,58.63969300000001,142.359503,57.10400500000001,1.7509869999999998,34.18826,32.124671,-1.269213,40.956973,97.382383,91.274845,186.529892,3.582864,282.072348,4.115662,2.056727,0.8780370000000001,0.250846,28.234532,2.00793,307.198793,2.9496130000000003,36.371192,225.23219100000003,1.266275,28.234532,0.10952,0.172253,0.009813,0.171285,0.15626700000000002,0.05948,0.003328,0.003295,0.226969,0.645583,0.128002,0.15626700000000002,0.10952,0.172253,1.256716,0.023266,-40.308808,-6.057983588450751,-0.6934217975084079,97.382383,1.37362102523487,-6.4224909589020704,91.274845,56.940813296089495,11263.837650527701,172665691.894563,4.630372675072767,0.026018504951205564,27.0,3.772478382081477,0.026018504951205564,25.22338780820609,4.241724566047108,0.07688718798454346,46.0,3.3838302730558176,0.07688718798454346,24.83473969918043,4.017790250222194
9,574511_070,78.0,9,46,55.5545,-9,40,21.947,252,221,30,460,2018-04-18T13:53:24.154,2018,4,18,22,53,24.1536,0.33072,97.382383,91.274845,142.359503,57.10400500000001,34.18826,56,104,231.908296,27.640799,203497.8169,234.89223,26.114534,200611.6214,2018-04-18T13:52:49.813484,2018,4,18,13,52,49.813484,146.434136473792,-9.6091431938264,147.010124388728,-9.73207655239035,232.37721405562198,27.505114884112395,232.951333148763,27.22664118356869,232.664273602193,27.365878033840605,226.0,30.662858266203603,240.98131931067402,23.0,232.618964491968,27.27729617256,0.0994970432587294,-0.0453091102241103,-0.0885818612805629,1.2140006325954298,226.0,30.598351842171894,241.66524544497295,23.0,231.945901947501,27.7143207444872,234.96217976099098,26.251289720738395,232.334983110279,27.4225510084661,232.90294587365798,27.1320413366539,100.0,1000045,58226.578752,2018,4,18,13,53,24.1536,0.33072,223.150843,-15.190952,142.975813,58.63969300000001,142.359503,57.10400500000001,1.7509869999999998,34.18826,32.124671,-1.269213,40.956973,97.382383,91.274845,186.529892,3.582864,282.072348,4.115662,2.056727,0.8780370000000001,0.250846,28.234532,2.00793,307.198793,2.9496130000000003,36.371192,225.23219100000003,1.266275,28.234532,0.10952,0.172253,0.009813,0.171285,0.15626700000000002,0.05948,0.003328,0.003295,0.226969,0.645583,0.128002,0.15626700000000002,0.10952,0.172253,1.256716,0.023266,-40.308808,-6.057983588450751,-0.6934217975084079,97.382383,1.37362102523487,-6.4224909589020704,91.274845,56.940813296089495,446.602888268076,6846067.8409463,8.168461483371168,0.014296039560249284,28.0,7.310567190379878,0.014296039560249284,25.257064479506198,7.576942671302554,0.09838119981850037,42.0,6.719048378311263,0.09838119981850037,24.665545667437588,7.1962531045306335
