,ID,Angle,Ra_hh_,Ra_mm_,Ra_ss_,Dec_deg_,Dec_mm_,Dec_ss_,X,Y,x_1,x_2,utc_mu,year_jst_mu,month_jst_mu,day_jst_mu,hour_jst_mu,minute_jst_mu,second_jst_mu,duration,alt_start,alt_end,azimuth_radiant,zenith_radiant,velocity,n_data_interferometry,n_data_doppler,azimuth_start_at_kiso,elevation_start_at_kiso,range_start_at_kiso,azimuth_end_at_kiso,elevation_end_at_kiso,range_end_at_kiso,exposure_starting_time_tomoe,year_tomoe,month_tomoe,day_tomoe,hh_UT__tomoe,mm_tomoe,ss_tomoe,ra1_deg_,dec1_deg_,ra2_deg_,dec2_deg_,az1_deg_,el1_deg_,az2_deg_,el2_deg_,az_middle_deg_,el_middle_deg_,az3_deg__mu_at_kiso,el3_deg__mu_at_kiso,az4_deg__mu_at_kiso,el4_deg__mu_at_kiso,az_intersection,el_intersection,distance_modified,vector_az,vector_el,theta,az3_deg__tomoe,el3_deg__tomoe,az4_deg__tomoe,el4_deg__tomoe,az1_intersection_tomoe,el1_intersection_tomoe,az2_intersection_tomoe,el2_intersection_tomoe,az1_intersection_mu,el1_intersection_mu,az2_intersection_mu,el2_intersection_mu,percentage,Event_Number,MJD,Begining_time_of_the_event_YYYY,MM,DD,hh,mm,ss_ssssss,Duratin_s_,Radiant_Right_Ascension_,Radiant_Declination_,Radiant_Azimuth_,Radiant_Zenith_,Radiant_Azimuth__uncorrected,Radiant_Zenith__uncorrected,Zenith_angle_correction,Initial_velocity_observed__km_s_,Initial_velocity_geocentric__km_s_,RCS_dBsm_at_max_SNR,SNR_max_dB_,Beginning_height_km_,EndHeight_km_,AzimuthOfMeteorStartPoint,ZenithOfMeteorStartPoint,AzimuthOfMeteorEndPoint,ZenithOfMeteorEndPoint,x6ParametersForOrbit,x6ParametersForOrbit_1,x6ParametersForOrbit_2,x6ParametersForOrbit_3,x6ParametersForOrbit_4,x6ParametersForOrbit_5,Period_yr_,HeliocentricVelocity_km_s_,Radiant_eclipticLongitude_,Radiant_eclipticLatitude_,SolarLongitude,RAError,decError,azError,zeError,velocityError,aError,eError,qError,iError,omegaError,PError,heliocentricVelocityError,radiant_eclipticLongitude_,radiant_eclipticLatitude_,HammerX,HammerY,TimeFromPerihelion_days_,x_start_km_,y_start_km_,z_start_km_,x_end_km_,y_end_km_,z_end_km_,incidence_angle_deg_,line_intensity,flux_meteor,mag_vr,mag_err,star_num,abs_mag
0,571226_095,77.0,9,3,39.5467,-5,34,54.676,287,153,1,500,2018-04-18T13:17:43.937,2018,4,18,22,17,43.93656,0.27768000000000004,108.239599,103.938985,140.603655,59.664314000000005,32.826081,34,84,232.647936,31.238632,203321.4017,235.25548500000002,30.158831,201309.3389,2018-04-18T13:16:56.916414,2018,4,18,13,16,56.916414,135.535453695634,-5.493339411880469,136.197423718319,-5.64731663222109,237.00385358457996,29.342946627550802,237.673805293976,29.002950629127003,237.338829439278,29.1729486283389,226.0,33.991580435767005,242.0,27.3658886462744,237.38236417062998,29.278078133869702,0.11378701932564501,0.0435347313517696,0.10512950553076901,4.41276130647166,226.0,34.9273285069178,242.0,26.8074358363103,232.755696927846,31.498857633838803,235.27991784035,30.217832453436603,237.03633029117995,29.4213727484918,237.728398050079,29.1347835192475,0.0,1000011,58226.553981,2018,4,18,13,17,43.93656,0.27768000000000004,217.073968,-16.789551,141.214074,61.45768399999999,140.603655,59.664314000000005,2.0109470000000003,32.826081,30.668376000000002,-33.48722,9.304889999999999,108.239599,103.938985,91.431162,1.6634830000000003,342.74368599999997,3.486962,2.604582,0.8719979999999999,0.333391,208.21031399999998,2.6736470000000003,115.722723,4.203462,37.58665,220.152756,-2.03282,28.210314,0.6466029999999999,0.669275,0.451412,0.457157,0.440984,0.339974,0.014661000000000002,0.012691,0.824256,2.861179,0.8299469999999999,0.440984,0.6466029999999999,0.669275,1.339795,-0.037683999999999995,-41.570805,-0.0785099971583261,3.1424506211016805,108.239599,6.04835505193501,-1.87879498144373,103.938985,61.502521630599496,357.593674889117,5497577.35724652,7.522254139459116,0.24348597428732913,13,6.000516321346435
1,571311_057,72.0,9,7,48.3132,-9,33,35.007,250,128,1,500,2018-04-18T13:18:28.175,2018,4,18,22,18,28.175040000000003,0.27144,94.596222,91.496659,137.197844,66.24489799999999,28.051143,51,88,232.654002,27.09488,201224.138,234.874129,26.222579,200368.9831,2018-04-18T13:17:59.811226,2018,4,18,13,17,59.811226,136.617921745616,-9.45118810217436,137.285931233442,-9.66812770164975,233.25462258345502,26.9123727494208,233.96845022461497,26.638775136956,233.611536404035,26.7755739431884,226.0,29.7092766532554,242.0,23.4227822319904,233.592164723302,26.7262703296076,0.0529727130373133,-0.0193716807327462,-0.0493036135807721,0.47920456194839595,226.0,29.6929423207269,242.0,23.560423002304898,232.670290669105,27.136336921490997,234.897713500826,26.2826048248769,233.23641995923802,26.8660445467755,233.94790948736699,26.5864961124398,100.0,1000013,58226.554492999996,2018,4,18,13,18,28.175040000000003,0.27144,224.60397799999998,-21.496851,137.836497,69.258741,137.197844,66.24489799999999,3.231479,28.051143,25.49631,-17.966679,24.915011,94.596222,91.496659,200.391223,2.305172,284.382744,3.9199269999999995,1.1488,0.748841,0.288531,208.210815,5.326651999999999,131.63136699999998,1.231307,31.388696000000003,228.36445899999998,-4.37893,28.210815000000004,0.26799,0.310112,0.078472,0.244119,0.265851,0.023992,0.006385,0.005988,0.30541399999999996,0.9569479999999999,0.038583,0.265851,0.26799,0.310112,1.201822,-0.080134,-47.503538,-3.5693071307946003,-1.3267910625021102,94.596222,1.55735386756093,-6.07308558415313,91.496659,66.07525187782839,345.932415406904,4598267.58229716,8.270241643855604,0.3499911605577224,9,6.825121534508984
2,571314_058,54.5,9,8,6.5041,-7,10,35.008,306,145,160,440,2018-04-18T13:18:28.175,2018,4,18,22,18,28.175040000000003,0.27144,94.596222,91.496659,137.197844,66.24489799999999,28.051143,51,88,232.654002,27.09488,201224.138,234.874129,26.222579,200368.9831,2018-04-18T13:17:59.811226,2018,4,18,13,17,59.811226,136.832603829147,-7.03860101479174,137.205633824102,-7.3026841742807,235.09935347103502,28.6263523363295,235.61361179108602,28.5728697621567,235.35648263106097,28.5996110492431,226.0,29.7092766532554,242.0,23.4227822319904,234.482924867693,26.376285412207604,2.38878212782968,-0.8735577633674151,-2.22332563703543,15.5127724129299,226.0,29.5726799463351,242.0,27.908689003650302,233.328103326692,28.810561348668,235.790350225901,28.5544890649844,234.25107996585098,26.4673786423347,234.71476976953602,26.285192182080603,100.0,1000013,58226.554492999996,2018,4,18,13,18,28.175040000000003,0.27144,224.60397799999998,-21.496851,137.836497,69.258741,137.197844,66.24489799999999,3.231479,28.051143,25.49631,-17.966679,24.915011,94.596222,91.496659,200.391223,2.305172,284.382744,3.9199269999999995,1.1488,0.748841,0.288531,208.210815,5.326651999999999,131.63136699999998,1.231307,31.388696000000003,228.36445899999998,-4.37893,28.210815000000004,0.26799,0.310112,0.078472,0.244119,0.265851,0.023992,0.006385,0.005988,0.30541399999999996,0.9569479999999999,0.038583,0.265851,0.26799,0.310112,1.201822,-0.080134,-47.503538,-3.5693071307946003,-1.3267910625021102,94.596222,1.55735386756093,-6.07308558415313,91.496659,66.07525187782839,12.805968917642698,170221.896276004,11.917570408480715,0.6515154540610285,10,10.472450299134092
3,571332_057,72.0,8,59,32.4253,-8,53,6.271,341,230,150,460,2018-04-18T13:18:28.175,2018,4,18,22,18,28.175040000000003,0.27144,94.596222,91.496659,137.197844,66.24489799999999,28.051143,51,88,232.654002,27.09488,201224.138,234.874129,26.222579,200368.9831,2018-04-18T13:17:59.811226,2018,4,18,13,17,59.811226,134.63021105191,-8.80136374341065,135.04396148986402,-8.93704264297578,235.63803364136,25.976571865317503,236.073919096823,25.798384437645,235.855976369092,25.8874781514812,226.0,29.7092766532554,242.0,23.4227822319904,235.838729259353,25.8435818656768,0.0471629802045084,-0.017247109739003,-0.0438962858044007,0.784300662273893,226.0,29.916543710796798,242.0,23.375837185646,232.688378735442,27.1823735584476,234.896564384919,26.2796801655552,235.619607948423,25.9296759218481,236.05785057028197,25.7574878095056,0.0,1000013,58226.554492999996,2018,4,18,13,18,28.175040000000003,0.27144,224.60397799999998,-21.496851,137.836497,69.258741,137.197844,66.24489799999999,3.231479,28.051143,25.49631,-17.966679,24.915011,94.596222,91.496659,200.391223,2.305172,284.382744,3.9199269999999995,1.1488,0.748841,0.288531,208.210815,5.326651999999999,131.63136699999998,1.231307,31.388696000000003,228.36445899999998,-4.37893,28.210815000000004,0.26799,0.310112,0.078472,0.244119,0.265851,0.023992,0.006385,0.005988,0.30541399999999996,0.9569479999999999,0.038583,0.265851,0.26799,0.310112,1.201822,-0.080134,-47.503538,-3.5693071307946003,-1.3267910625021102,94.596222,1.55735386756093,-6.07308558415313,91.496659,66.07525187782839,606.543393554854,8062409.59107335,7.588404458737467,0.21032400178349883,19,6.143284349390846
4,571342_058,73.5,8,55,56.9275,-8,35,19.427,488,9,472,497,2018-04-18T13:18:28.175,2018,4,18,22,18,28.175040000000003,0.27144,94.596222,91.496659,137.197844,66.24489799999999,28.051143,51,88,232.654002,27.09488,201224.138,234.874129,26.222579,200368.9831,2018-04-18T13:17:59.811226,2018,4,18,13,17,59.811226,133.965857759717,-8.58221918450811,133.999203232885,-8.592391892245361,236.73752167142,25.524606997863103,236.77183690746898,25.5093887775339,236.754679289444,25.516997887698498,226.0,29.7092766532554,242.0,23.4227822319904,236.743345835016,25.4881526746587,0.0309918296425529,-0.0113334544284385,-0.0288452130398014,2.46631101533389,226.0,30.286514226311997,242.0,23.19078785791,232.73454017823798,27.299860831200398,234.91709555744598,26.331934846528803,236.725892857009,25.495010052713198,236.760798813022,25.4812952966041,0.0,1000013,58226.554492999996,2018,4,18,13,18,28.175040000000003,0.27144,224.60397799999998,-21.496851,137.836497,69.258741,137.197844,66.24489799999999,3.231479,28.051143,25.49631,-17.966679,24.915011,94.596222,91.496659,200.391223,2.305172,284.382744,3.9199269999999995,1.1488,0.748841,0.288531,208.210815,5.326651999999999,131.63136699999998,1.231307,31.388696000000003,228.36445899999998,-4.37893,28.210815000000004,0.26799,0.310112,0.078472,0.244119,0.265851,0.023992,0.006385,0.005988,0.30541399999999996,0.9569479999999999,0.038583,0.265851,0.26799,0.310112,1.201822,-0.080134,-47.503538,-3.5693071307946003,-1.3267910625021102,94.596222,1.55735386756093,-6.07308558415313,91.496659,66.07525187782839,0.0,0.0,0.0,,15,0.0
5,571913_111,103.5,9,14,42.2521,-8,5,19.625999999999998,323,230,140,480,2018-04-18T13:25:25.147,2018,4,18,22,25,25.14744,0.43056000000000005,101.155917,94.914469,168.29380700000002,30.025171000000004,16.686896,70,130,233.66101899999998,29.021196000000003,202557.5758,234.712921,27.689328999999997,198138.8948,2018-04-18T13:24:29.921560,2018,4,18,13,24,29.921559999999996,138.431511217099,-8.14637761185479,138.88575060302298,-8.03923939770838,234.497505561349,28.112007495424105,234.79515906131098,27.731806379942302,234.64633231132999,27.9219069376832,226.56960380223,38.0,238.416529959272,23.0,234.574216328255,27.864950089267698,0.0918955798518669,-0.0721159830750651,-0.0569568484155134,0.244669789952409,226.75635105984298,38.0,238.499616183563,23.0,233.738072522386,29.082052492656604,234.784287024935,27.7456935351688,234.42458051688203,28.0544116543045,234.72385213962798,27.6754885242309,96.3474186000769,1000016,58226.55931900001,2018,4,18,13,25,25.14744,0.43056000000000005,189.02072900000002,0.9183,170.919176,34.267531,168.29380700000002,30.025171000000004,4.451822,16.686896,12.405785,-34.814861,9.642154,101.155917,94.914469,279.423008,0.8642489999999999,329.231226,2.628141,1.8494970000000002,0.534096,0.8616879999999999,28.215533,1.614,233.663248,2.515245,35.707405,187.924801,4.419517,28.215533,1.631177,2.288498,2.329535,1.633636,0.284866,0.172805,0.038824000000000004,0.014558000000000001,0.949585,6.048177,0.353831,0.284866,1.631177,2.288498,1.850939,0.086982,-39.100718,0.24983187645780605,-1.5053602141990603,101.155917,3.74349352475619,-2.2288057212366,94.914469,29.7534410356456,309.197663110578,1843537.68164661,9.245751075111189,0.19034403160559732,9,7.764406548071104
6,572125_014,69.0,9,16,21.8317,-6,26,14.025,227,195,30,420,2018-04-18T13:26:56.155,2018,4,18,22,26,56.15472,0.23711999999999997,105.624784,102.563296,137.298135,69.661741,39.150389000000004,33,69,232.00517000000002,30.270453000000003,203870.732,234.81553300000002,29.418033,202953.21399999998,2018-04-18T13:26:49.352229,2018,4,18,13,26,49.352229,138.82930942998001,-6.33689108525867,139.347511282526,-6.535585717911191,235.74794903930302,29.1467840125431,236.33531512164902,28.944393758942297,236.041632080476,29.0455888857427,226.0,32.091899913228005,242.0,27.238889821649,236.04178544919398,29.0460945305774,0.000528392526858033,0.000153368717832336,0.0005056448346714151,2.13930800688847,226.0,32.505660082251,242.0,26.992498606063197,232.050752945171,30.420736454798103,234.829273515312,29.463334419292103,235.744736738628,29.136193304956603,236.33883415976,28.955995756198302,0.0,1000018,58226.560372,2018,4,18,13,26,56.15472,0.23711999999999997,228.065602,-23.01549,137.744439,71.21378100000001,137.298135,69.661741,1.6871610000000001,39.150389000000004,37.287566,-32.898826,13.840328,105.624784,102.563296,139.933639,2.159329,315.06737599999997,2.631748,2.200524,0.938839,0.13458699999999998,208.21656299999998,12.334895,142.03141100000002,3.2642919999999997,36.753274,231.874059,-4.9561779999999995,28.216563,0.843391,0.8230540000000001,0.5175890000000001,0.53878,1.043029,0.48207,0.013161,0.0154,2.335499,3.7739540000000003,1.0973680000000001,1.043029,0.843391,0.8230540000000001,1.142788,-0.090259,-35.632715000000005,-3.04788866362091,2.5635037429401,105.624784,3.3374465430172204,-3.3296065314349503,102.563296,70.5908680141238,147.029014678736,2754443.79451474,8.243468513992728,0.8974251581674203,5,6.736783440522439
7,572126_014,111.5,9,17,23.3033,-5,41,58.946999999999996,419,245,350,490,2018-04-18T13:26:56.155,2018,4,18,22,26,56.15472,0.23711999999999997,105.624784,102.563296,137.298135,69.661741,39.150389000000004,33,69,232.00517000000002,30.270453000000003,203870.732,234.81553300000002,29.418033,202953.21399999998,2018-04-18T13:26:49.352229,2018,4,18,13,26,49.352229,139.255334249169,-5.735470320924059,139.441485452647,-5.6629040828049,236.347343665419,29.8525837901761,236.44725857797997,29.6735488724584,236.39730112169997,29.7630663313172,226.0,32.091899913228005,242.0,27.238889821649,236.16820381521802,29.007750180197803,0.7892959292808079,-0.229097306482203,-0.7553161511194201,43.9619662561828,231.800474325181,38.0,240.171599396874,23.0,233.452026415764,35.0406270188809,235.440309822961,31.477874001509996,236.097590850186,29.0291680196911,236.23881678024898,28.986332340704497,0.0,1000018,58226.560372,2018,4,18,13,26,56.15472,0.23711999999999997,228.065602,-23.01549,137.744439,71.21378100000001,137.298135,69.661741,1.6871610000000001,39.150389000000004,37.287566,-32.898826,13.840328,105.624784,102.563296,139.933639,2.159329,315.06737599999997,2.631748,2.200524,0.938839,0.13458699999999998,208.21656299999998,12.334895,142.03141100000002,3.2642919999999997,36.753274,231.874059,-4.9561779999999995,28.216563,0.843391,0.8230540000000001,0.5175890000000001,0.53878,1.043029,0.48207,0.013161,0.0154,2.335499,3.7739540000000003,1.0973680000000001,1.043029,0.843391,0.8230540000000001,1.142788,-0.090259,-35.632715000000005,-3.04788866362091,2.5635037429401,105.624784,3.3374465430172204,-3.3296065314349503,102.563296,70.5908680141238,0.00673087159082678,126.096250631472,19.09703455270672,0.21663128115226626,10,17.59034947923643
8,572211_063,124.5,9,20,28.5457,-9,28,39.202,183,69,90,260,2018-04-18T13:28:23.362,2018,4,18,22,28,23.36184,0.29952,95.67595,88.909058,75.77297800000001,40.111333,29.51057,45,86,232.72604700000002,28.001289,197774.9077,233.466469,25.561245,199190.7933,2018-04-18T13:27:52.240936,2018,4,18,13,27,52.240936,139.993884689957,-9.56148271640432,140.222382625616,-9.40810635964402,233.06211252887996,27.4075195208826,233.139658667124,27.1437633500897,233.100885598002,27.2756414354861,229.69197646846803,38.0,234.243668978931,23.0,232.959280875212,27.232672025074898,0.147980633014898,-0.14160472278987898,-0.0429694104112635,0.49651869910294005,229.94785001471598,38.0,234.357953748639,23.0,232.87431263668702,28.046279639204503,233.593588963979,25.599819065865002,232.91936793453,27.3642042208151,232.999193815895,27.1011398293347,100.0,1000019,58226.56138200001,2018,4,18,13,28,23.36184,0.29952,235.25074700000002,34.447538,75.484911,41.153239,75.77297800000001,40.111333,1.600424,29.51057,27.079985999999998,-32.724587,15.075819000000001,95.67595,88.909058,105.428808,1.311417,239.956949,2.5647290000000003,2.447252,0.681603,0.779197,28.217548999999998,39.188886,243.427234,3.8284050000000005,37.2969,220.16294900000003,52.043831,28.217548999999998,2.494327,2.182403,2.7048200000000002,1.479349,0.6513100000000001,0.664205,0.067453,0.030331999999999998,2.04563,13.588107,1.611709,0.6513100000000001,2.494327,2.182403,0.9038799999999999,0.917538,-40.841989,-0.582700105190151,2.1113324195074,95.67595,-1.9938376017244,-3.4474432835184596,88.909058,40.2820271770729,110.509041096812,1423057.1036558,9.197954309184112,0.8688878208203467,9,7.746956736983877
9,572311_102,71.0,9,20,32.5753,-9,34,57.536,196,148,50,350,2018-04-18T13:29:45.895,2018,4,18,22,29,45.8952,0.31511999999999996,92.712446,90.344938,120.99501399999998,76.725974,28.623540000000002,46,90,232.18951600000003,27.371878999999996,195568.8488,234.81784100000002,26.321669,197250.4379,2018-04-18T13:28:55.117344,2018,4,18,13,28,55.117343999999996,139.94048737929398,-9.51586229126754,140.341814726581,-9.65337754099156,233.00061586637798,27.1297902226156,233.43661619998198,26.9725311757729,233.21861603317996,27.051160699194302,226.0,29.8450478806978,242.0,23.4518659111925,233.187439016445,26.973135035269298,0.0840238692482297,-0.0311770167352279,-0.0780256639249863,1.94671428979864,226.0,29.6548116356917,242.0,23.883841855268997,232.207139847234,27.4159856056138,234.87116112203898,26.4551114636575,232.972359920107,27.059075022814604,233.402518112783,26.887195047724,100.0,1000020,58226.562337,2018,4,18,13,29,45.8952,0.31511999999999996,247.882775,-19.013981,121.407582,80.350803,120.99501399999998,76.725974,3.779949,28.623540000000002,26.029554,-33.585259,15.299747,92.712446,90.344938,109.12281999999999,2.487266,310.94531800000004,3.027726,0.718496,0.8620770000000001,0.099097,28.218483000000003,5.8255,341.23078300000003,0.6090270000000001,22.960223000000003,249.12094700000003,2.834289,28.218483000000003,0.73374,0.6739729999999999,0.213128,0.454809,0.924004,0.016284,0.018425999999999998,0.012733,1.675629,1.792302,0.020721,0.924004,0.73374,0.6739729999999999,0.8540209999999999,0.050618,-45.499972,-1.31930988540694,3.80503770680192,92.712446,3.1316118375645,-3.60945886202645,90.344938,74.68938892774341,107.55761670251101,1461285.30237492,9.29642378513166,0.9081506801151663,9,7.861473084576074
